n_hidden_units,step,epoch,batch_size,embedding_size,keep_prob,random_embedding,multi_granined,multi_granined_out,initial_learning_rate,final_learning_rate,AUC
200,8001,,32,50,0.5,True,False,False,0.001,1e-05,0.794518899126
200,8501,,32,50,0.5,True,False,False,0.001,1e-05,0.794490476128
200,9001,,32,50,0.5,True,False,False,0.001,1e-05,0.794257616869
200,9501,,32,50,0.5,True,False,False,0.001,1e-05,0.794250290996
200,10001,,32,50,0.5,True,False,False,0.001,1e-05,0.794542983535
200,501,,32,100,0.5,True,False,False,0.001,1e-05,0.767042909742
200,1001,,32,100,0.5,True,False,False,0.001,1e-05,0.784332844478
200,1501,,32,100,0.5,True,False,False,0.001,1e-05,0.78603275166
200,2001,,32,100,0.5,True,False,False,0.001,1e-05,0.78786712196
200,2501,,32,100,0.5,True,False,False,0.001,1e-05,0.793761625873
